รหัสนักเรียน,ชื่อ-นามสกุล,เพศ,อายุ,ระดับชั้น,โรงเรียน,เบอร์โทรติดต่อ,รหัสคอร์ส,ชื่อคอร์ส,รายวิชา,อาจารย์ผู้สอน,ราคา(บาท),จำนวนรับสูงสุด,จำนวนผู้ลงทะเบียน,ที่นั่งคงเหลือ,รหัสการลงทะเบียน,วันที่ลงทะเบียน,ส่วนลด,ยอดชำระสุทธิ (บาท),สถานะการลงทะเบียน,รหัสการชำระเงิน,จำนวนเงินที่ชำระ(บาท),ช่องทางการชำระเงิน,วันที่ชำระเงิน,สถานะการชำระเงิน
STU0108,ธนวัฒน์ แก้วคำ,ชาย,17,ม.6,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),094-2497428,C002,ฟิสิกส์ ม.ปลาย,ฟิสิกส์,ครูเอก,2800,40,40,0,108,2026-07-07,0.0,2800.0,ลงทะเบียนสำเร็จ,108.0,2800.0,เงินสด,2026-07-07,ชำระเงินแล้ว
STU0109,พิชญ์สินี สวัสดิ์ชัย,หญิง,17,ม.6,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),084-8073457,C009,ชีววิทยา A-Level,ชีววิทยา,ครูแพรว,3300,40,38,2,109,2026-07-26,0.05,3135.0,ลงทะเบียนสำเร็จ,109.0,3135.0,เงินสด,2026-07-26,ชำระเงินแล้ว
STU0110,อริสรา วัฒนกุล,หญิง,15,ม.4,โรงเรียนนครขอนแก่น,086-6383466,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,110,2026-07-30,0.0,3400.0,ลงทะเบียนสำเร็จ,110.0,3400.0,โอนธนาคาร,2026-07-30,ชำระเงินแล้ว
STU0111,ปกรณ์ เกียรติศักดิ์,ชาย,17,ม.5,โรงเรียนแก่นนครวิทยาลัย,082-8909531,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,111,2026-08-04,0.05,3325.0,ลงทะเบียนสำเร็จ,111.0,3325.0,บัตรเครดิต,2026-08-04,ชำระเงินแล้ว
STU0112,สิริกัญญา ชัยมงคล,หญิง,17,ม.6,โรงเรียนขอนแก่นวิทยายน,082-8696707,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,112,2026-06-19,0.1,3150.0,ลงทะเบียนสำเร็จ,112.0,3150.0,พร้อมเพย์,2026-06-19,ชำระเงินแล้ว
STU0113,ณัฐพงศ์ แสงจันทร์,ชาย,18,ม.6,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),087-4096068,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,113,2026-08-07,0.0,2700.0,ลงทะเบียนสำเร็จ,113.0,2700.0,โอนธนาคาร,2026-08-07,ชำระเงินแล้ว
STU0114,พัณณิตา พงษ์ศรี,หญิง,15,ม.4,โรงเรียนขอนแก่นพัฒนศึกษา,098-4757413,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,114,2026-07-16,0.1,3150.0,ลงทะเบียนสำเร็จ,114.0,3150.0,เงินสด,2026-07-16,ชำระเงินแล้ว
STU0115,ณัฐณิชา ศรีเจริญ,หญิง,16,ม.4,โรงเรียนแก่นนครวิทยาลัย,099-9044526,C001,คณิตศาสตร์ ม.ปลาย,คณิตศาสตร์,ครูพิมพ์,2800,40,40,0,115,2026-06-11,0.1,2520.0,ลงทะเบียนสำเร็จ,115.0,2520.0,พร้อมเพย์,2026-06-11,ชำระเงินแล้ว
STU0116,อริสา เจริญสุข,หญิง,17,ม.5,โรงเรียนขอนแก่นวิทยาลัย,088-7701247,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,116,2026-06-29,0.1,3150.0,ลงทะเบียนสำเร็จ,116.0,3150.0,พร้อมเพย์,2026-06-29,ชำระเงินแล้ว
STU0117,กิตติพงษ์ เจริญทรัพย์,ชาย,15,ม.4,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,089-1972030,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,117,2026-06-11,0.0,3500.0,ลงทะเบียนสำเร็จ,117.0,3500.0,โอนธนาคาร,2026-06-11,ชำระเงินแล้ว
STU0118,สิรภพ รัตนกุล,ชาย,16,ม.4,โรงเรียนกัลยาณวัตร,095-3638894,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,118,2026-07-18,0.0,3500.0,ลงทะเบียนสำเร็จ,118.0,3500.0,พร้อมเพย์,2026-07-18,ชำระเงินแล้ว
STU0119,สุภัสสรา วรรณศรี,หญิง,16,ม.4,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,085-5471282,C002,ฟิสิกส์ ม.ปลาย,ฟิสิกส์,ครูเอก,2800,40,40,0,119,2026-06-18,0.05,2660.0,ลงทะเบียนสำเร็จ,119.0,2660.0,บัตรเครดิต,2026-06-18,ชำระเงินแล้ว
STU0120,กิตติ ธรรมวงศ์,ชาย,15,ม.4,โรงเรียนขอนแก่นวิทยายน,085-2382887,C001,คณิตศาสตร์ ม.ปลาย,คณิตศาสตร์,ครูพิมพ์,2800,40,40,0,120,2026-08-19,0.1,2520.0,ลงทะเบียนสำเร็จ,120.0,2520.0,บัตรเครดิต,2026-08-19,ชำระเงินแล้ว
STU0121,กานต์พิชชา ชนะชัย,หญิง,16,ม.5,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),099-9488747,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,121,2026-06-23,0.05,3325.0,ลงทะเบียนสำเร็จ,121.0,3325.0,โอนธนาคาร,2026-06-23,ชำระเงินแล้ว
STU0122,สุพิชญา ไพศาล,หญิง,15,ม.4,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),096-4496511,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,122,2026-07-14,0.0,2700.0,ลงทะเบียนสำเร็จ,122.0,2700.0,เงินสด,2026-07-14,ชำระเงินแล้ว
STU0123,ปกรณ์ ศรีนวล,ชาย,18,ม.6,โรงเรียนขอนแก่นวิทยายน,091-6303249,C001,คณิตศาสตร์ ม.ปลาย,คณิตศาสตร์,ครูพิมพ์,2800,40,40,0,123,2026-06-30,0.05,2660.0,ลงทะเบียนสำเร็จ,123.0,2660.0,พร้อมเพย์,2026-06-30,ชำระเงินแล้ว
STU0124,เขมิกา อินทร์แก้ว,หญิง,16,ม.5,โรงเรียนขอนแก่นวิทยาลัย,083-7034923,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,124,2026-06-11,0.1,2430.0,ลงทะเบียนสำเร็จ,124.0,2430.0,โอนธนาคาร,2026-06-11,ชำระเงินแล้ว
STU0125,ชยพล พรมมา,ชาย,17,ม.6,โรงเรียนขอนแก่นวิทยาลัย,084-8471076,C004,ชีววิทยา ม.ปลาย,ชีววิทยา,ครูแพรว,2700,40,40,0,125,2026-07-19,0.0,2700.0,ลงทะเบียนสำเร็จ,125.0,2700.0,เงินสด,2026-07-19,ชำระเงินแล้ว
STU0126,รชต เกียรติศักดิ์,ชาย,17,ม.5,โรงเรียนขอนแก่นพัฒนศึกษา,084-8685438,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,126,2026-06-12,0.05,3325.0,ลงทะเบียนสำเร็จ,126.0,3325.0,โอนธนาคาร,2026-06-12,ชำระเงินแล้ว
STU0127,ธนาธิป ชัยมงคล,ชาย,17,ม.6,โรงเรียนแก่นนครวิทยาลัย,094-6003064,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,127,2026-07-28,0.0,2500.0,ลงทะเบียนสำเร็จ,127.0,2500.0,เงินสด,2026-07-28,ชำระเงินแล้ว
STU0128,ณิชกานต์ ไพศาล,หญิง,16,ม.5,โรงเรียนกัลยาณวัตร,094-2838512,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,128,2026-06-12,0.05,3230.0,ลงทะเบียนสำเร็จ,128.0,3230.0,พร้อมเพย์,2026-06-12,ชำระเงินแล้ว
STU0129,อัญชิสา พงษ์ศรี,หญิง,17,ม.5,โรงเรียนขามแก่นนคร,096-7416246,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,129,2026-07-04,0.0,3400.0,ลงทะเบียนสำเร็จ,129.0,3400.0,โอนธนาคาร,2026-07-04,ชำระเงินแล้ว
STU0130,ธนาธิป วิไลวรรณ,ชาย,15,ม.4,โรงเรียนขอนแก่นวิทยายน,086-4017728,C002,ฟิสิกส์ ม.ปลาย,ฟิสิกส์,ครูเอก,2800,40,40,0,130,2026-08-16,0.05,2660.0,ลงทะเบียนสำเร็จ,130.0,2660.0,พร้อมเพย์,2026-08-16,ชำระเงินแล้ว
STU0131,กรวิชญ์ เจริญสุข,ชาย,16,ม.5,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),088-1542881,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,131,2026-06-13,0.1,3150.0,ลงทะเบียนสำเร็จ,131.0,3150.0,เงินสด,2026-06-13,ชำระเงินแล้ว
STU0132,ธนวัฒน์ ธรรมรักษ์,ชาย,16,ม.4,โรงเรียนขามแก่นนคร,095-9582643,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,132,2026-06-26,0.05,2565.0,ลงทะเบียนสำเร็จ,132.0,2565.0,โอนธนาคาร,2026-06-26,ชำระเงินแล้ว
STU0133,ศุภกร ไชยวงศ์,ชาย,17,ม.6,โรงเรียนขอนแก่นวิทยาลัย,092-7914570,C004,ชีววิทยา ม.ปลาย,ชีววิทยา,ครูแพรว,2700,40,40,0,133,2026-07-29,0.0,2700.0,ลงทะเบียนสำเร็จ,133.0,2700.0,พร้อมเพย์,2026-07-29,ชำระเงินแล้ว
STU0134,ธนาธิป แสงจันทร์,ชาย,18,ม.6,โรงเรียนกัลยาณวัตร,098-1311074,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,134,2026-06-10,0.05,2375.0,ลงทะเบียนสำเร็จ,134.0,2375.0,พร้อมเพย์,2026-06-10,ชำระเงินแล้ว
STU0135,อริสา อินทร์แก้ว,หญิง,16,ม.5,โรงเรียนขอนแก่นวิทยาลัย,084-7335284,C010,ภาษาอังกฤษ A-Level,ภาษาอังกฤษ,ครูณัฐ,3200,40,40,0,135,2026-07-11,0.1,2880.0,ลงทะเบียนสำเร็จ,135.0,2880.0,พร้อมเพย์,2026-07-11,ชำระเงินแล้ว
STU0136,ภาณุวัฒน์ ทองดี,ชาย,18,ม.6,โรงเรียนขอนแก่นพัฒนศึกษา,086-5259380,C004,ชีววิทยา ม.ปลาย,ชีววิทยา,ครูแพรว,2700,40,40,0,136,2026-07-24,0.0,2700.0,ลงทะเบียนสำเร็จ,136.0,2700.0,โอนธนาคาร,2026-07-24,ชำระเงินแล้ว
STU0137,ชญาดา แก้วใส,หญิง,17,ม.6,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,085-4324729,C009,ชีววิทยา A-Level,ชีววิทยา,ครูแพรว,3300,40,38,2,137,2026-06-07,0.0,3300.0,ลงทะเบียนสำเร็จ,137.0,3300.0,พร้อมเพย์,2026-06-07,ชำระเงินแล้ว
STU0138,รวิภาส วงศ์สุวรรณ,ชาย,17,ม.6,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),085-5103696,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,138,2026-07-08,0.05,2375.0,ลงทะเบียนสำเร็จ,138.0,2375.0,บัตรเครดิต,2026-07-08,ชำระเงินแล้ว
STU0139,พัชรินทร์ บุญธรรม,หญิง,18,ม.6,โรงเรียนขามแก่นนคร,083-7059911,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,139,2026-06-10,0.05,3325.0,ลงทะเบียนสำเร็จ,139.0,3325.0,เงินสด,2026-06-10,ชำระเงินแล้ว
STU0140,ธัญญารัตน์ รัตนวงศ์,หญิง,16,ม.5,โรงเรียนกัลยาณวัตร,099-2066814,C010,ภาษาอังกฤษ A-Level,ภาษาอังกฤษ,ครูณัฐ,3200,40,40,0,140,2026-06-10,0.05,3040.0,ลงทะเบียนสำเร็จ,140.0,3040.0,เงินสด,2026-06-10,ชำระเงินแล้ว
STU0141,พัณณิตา พงษ์ไพบูลย์,หญิง,16,ม.4,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),081-5841553,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,141,2026-07-22,0.0,3500.0,ลงทะเบียนสำเร็จ,141.0,3500.0,เงินสด,2026-07-22,ชำระเงินแล้ว
STU0142,พิชญาภา บุญญฤทธิ์,หญิง,16,ม.4,โรงเรียนขอนแก่นพัฒนศึกษา,099-2279620,C010,ภาษาอังกฤษ A-Level,ภาษาอังกฤษ,ครูณัฐ,3200,40,40,0,142,2026-07-27,0.05,3040.0,ลงทะเบียนสำเร็จ,142.0,3040.0,เงินสด,2026-07-27,ชำระเงินแล้ว
STU0143,กมลชนก รัตนวงศ์,หญิง,16,ม.4,โรงเรียนแก่นนครวิทยาลัย,094-1274293,C004,ชีววิทยา ม.ปลาย,ชีววิทยา,ครูแพรว,2700,40,40,0,143,2026-06-09,0.05,2565.0,ลงทะเบียนสำเร็จ,143.0,2565.0,เงินสด,2026-06-09,ชำระเงินแล้ว
STU0144,กรวิชญ์ แก้วมณี,ชาย,16,ม.4,โรงเรียนขอนแก่นวิทยายน,098-7482343,C001,คณิตศาสตร์ ม.ปลาย,คณิตศาสตร์,ครูพิมพ์,2800,40,40,0,144,2026-07-23,0.05,2660.0,ลงทะเบียนสำเร็จ,144.0,2660.0,เงินสด,2026-07-23,ชำระเงินแล้ว
STU0145,พศิน ศรีทอง,ชาย,18,ม.6,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,085-5423450,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,145,2026-07-08,0.1,2250.0,ลงทะเบียนสำเร็จ,145.0,2250.0,บัตรเครดิต,2026-07-08,ชำระเงินแล้ว
STU0146,พีรพัฒน์ แก้วมณี,ชาย,18,ม.6,โรงเรียนขอนแก่นวิทยายน,094-9347542,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,146,2026-08-08,0.1,3150.0,ลงทะเบียนสำเร็จ,146.0,3150.0,พร้อมเพย์,2026-08-08,ชำระเงินแล้ว
STU0147,ธนวัฒน์ ศรีสมบัติ,ชาย,17,ม.5,โรงเรียนแก่นนครวิทยาลัย,097-8776278,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,147,2026-06-03,0.05,2375.0,ลงทะเบียนสำเร็จ,147.0,2375.0,โอนธนาคาร,2026-06-03,ชำระเงินแล้ว
STU0148,อัญชิสา บุญส่ง,หญิง,16,ม.5,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,092-9808057,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,148,2026-06-06,0.1,3060.0,ลงทะเบียนสำเร็จ,148.0,3060.0,พร้อมเพย์,2026-06-06,ชำระเงินแล้ว
STU0149,พิมพ์ลภัส แสงทอง,หญิง,16,ม.5,โรงเรียนแก่นนครวิทยาลัย,095-7316383,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,149,2026-08-02,0.1,3150.0,ลงทะเบียนสำเร็จ,149.0,3150.0,โอนธนาคาร,2026-08-02,ชำระเงินแล้ว
STU0150,ปิยธิดา ศรีวงศ์,หญิง,16,ม.5,โรงเรียนขอนแก่นวิทยาลัย,088-9432807,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,150,2026-07-05,0.0,3500.0,ลงทะเบียนสำเร็จ,150.0,3500.0,โอนธนาคาร,2026-07-05,ชำระเงินแล้ว
STU0151,พัชรินทร์ ทองดี,หญิง,16,ม.4,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,088-6138841,C010,ภาษาอังกฤษ A-Level,ภาษาอังกฤษ,ครูณัฐ,3200,40,40,0,151,2026-06-01,0.0,3200.0,ลงทะเบียนสำเร็จ,151.0,3200.0,บัตรเครดิต,2026-06-01,ชำระเงินแล้ว
STU0152,ธิดารัตน์ เจริญวงศ์,หญิง,15,ม.4,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,095-3753554,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,152,2026-06-21,0.05,2375.0,ลงทะเบียนสำเร็จ,152.0,2375.0,พร้อมเพย์,2026-06-21,ชำระเงินแล้ว
STU0153,กฤติน ศรีวงศ์,ชาย,18,ม.6,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),084-9718155,C002,ฟิสิกส์ ม.ปลาย,ฟิสิกส์,ครูเอก,2800,40,40,0,153,2026-06-04,0.0,2800.0,ลงทะเบียนสำเร็จ,153.0,2800.0,พร้อมเพย์,2026-06-04,ชำระเงินแล้ว
STU0154,กิตติ เกียรติศักดิ์,ชาย,16,ม.4,โรงเรียนกัลยาณวัตร,091-1401384,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,154,2026-06-03,0.1,3060.0,ลงทะเบียนสำเร็จ,154.0,3060.0,เงินสด,2026-06-03,ชำระเงินแล้ว
STU0155,ธัญญารัตน์ รัตนกุล,หญิง,15,ม.4,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,094-3370268,C001,คณิตศาสตร์ ม.ปลาย,คณิตศาสตร์,ครูพิมพ์,2800,40,40,0,155,2026-06-01,0.05,2660.0,ลงทะเบียนสำเร็จ,155.0,2660.0,บัตรเครดิต,2026-06-01,ชำระเงินแล้ว
STU0156,กัญญาวีร์ อินทร์แก้ว,หญิง,17,ม.6,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),096-6264441,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,156,2026-08-07,0.1,3060.0,ลงทะเบียนสำเร็จ,156.0,3060.0,เงินสด,2026-08-07,ชำระเงินแล้ว
STU0157,สุภัสสรา พงษ์ศรี,หญิง,17,ม.5,โรงเรียนกัลยาณวัตร,087-5955123,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,157,2026-07-24,0.0,2700.0,ลงทะเบียนสำเร็จ,157.0,2700.0,พร้อมเพย์,2026-07-24,ชำระเงินแล้ว
STU0158,เอกภพ พงษ์ศรี,ชาย,16,ม.4,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),086-4389171,C002,ฟิสิกส์ ม.ปลาย,ฟิสิกส์,ครูเอก,2800,40,40,0,158,2026-08-11,0.05,2660.0,ลงทะเบียนสำเร็จ,158.0,2660.0,พร้อมเพย์,2026-08-11,ชำระเงินแล้ว
STU0159,ชนนท์ ทองดี,ชาย,15,ม.4,โรงเรียนแก่นนครวิทยาลัย,092-5595147,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,159,2026-07-15,0.0,3400.0,ลงทะเบียนสำเร็จ,159.0,3400.0,บัตรเครดิต,2026-07-15,ชำระเงินแล้ว
STU0160,อริสา สุขสันต์,หญิง,17,ม.6,โรงเรียนนครขอนแก่น,083-3841951,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,160,2026-08-04,0.05,3325.0,ลงทะเบียนสำเร็จ,160.0,3325.0,โอนธนาคาร,2026-08-04,ชำระเงินแล้ว
STU0161,อธิพัฒน์ วงศ์สุวรรณ,ชาย,16,ม.5,โรงเรียนแก่นนครวิทยาลัย,086-4950118,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,161,2026-06-19,0.1,3150.0,ลงทะเบียนสำเร็จ,161.0,3150.0,พร้อมเพย์,2026-06-19,ชำระเงินแล้ว
STU0162,วรรณวิสา เจริญทรัพย์,หญิง,17,ม.5,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),098-4841899,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,162,2026-08-08,0.05,2375.0,ลงทะเบียนสำเร็จ,162.0,2375.0,บัตรเครดิต,2026-08-08,ชำระเงินแล้ว
STU0163,กุลธิดา สมบูรณ์,หญิง,15,ม.4,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (มอดินแดง),096-2279343,C010,ภาษาอังกฤษ A-Level,ภาษาอังกฤษ,ครูณัฐ,3200,40,40,0,163,2026-08-06,0.1,2880.0,ลงทะเบียนสำเร็จ,163.0,2880.0,เงินสด,2026-08-06,ชำระเงินแล้ว
STU0164,พิชญ์สินี บุญมี,หญิง,17,ม.6,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),091-5209458,C001,คณิตศาสตร์ ม.ปลาย,คณิตศาสตร์,ครูพิมพ์,2800,40,40,0,164,2026-08-08,0.1,2520.0,ลงทะเบียนสำเร็จ,164.0,2520.0,บัตรเครดิต,2026-08-08,ชำระเงินแล้ว
STU0165,พิชญาภา พูนทรัพย์,หญิง,17,ม.6,โรงเรียนกัลยาณวัตร,088-4008645,C010,ภาษาอังกฤษ A-Level,ภาษาอังกฤษ,ครูณัฐ,3200,40,40,0,165,2026-06-07,0.1,2880.0,ลงทะเบียนสำเร็จ,165.0,2880.0,เงินสด,2026-06-07,ชำระเงินแล้ว
STU0166,กมลชนก ชัยมงคล,หญิง,17,ม.6,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),096-7454368,C010,ภาษาอังกฤษ A-Level,ภาษาอังกฤษ,ครูณัฐ,3200,40,40,0,166,2026-06-17,0.05,3040.0,ลงทะเบียนสำเร็จ,166.0,3040.0,โอนธนาคาร,2026-06-17,ชำระเงินแล้ว
STU0167,พศิน สุวรรณ,ชาย,16,ม.5,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,093-6382170,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,167,2026-08-14,0.0,3500.0,ลงทะเบียนสำเร็จ,167.0,3500.0,เงินสด,2026-08-14,ชำระเงินแล้ว
STU0168,ศุภัคสร สุวรรณดี,หญิง,16,ม.4,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,086-3771178,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,168,2026-07-05,0.1,2430.0,ลงทะเบียนสำเร็จ,168.0,2430.0,โอนธนาคาร,2026-07-05,ชำระเงินแล้ว
STU0169,รชต สุขสันต์,ชาย,18,ม.6,โรงเรียนเตรียมอุดมศึกษาพัฒนาการ ขอนแก่น,089-4958390,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,169,2026-06-15,0.05,2565.0,ลงทะเบียนสำเร็จ,169.0,2565.0,เงินสด,2026-06-15,ชำระเงินแล้ว
STU0170,ชุติกาญจน์ ศรีนวล,หญิง,16,ม.5,โรงเรียนแก่นนครวิทยาลัย,082-4397510,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,170,2026-06-01,0.05,2375.0,ลงทะเบียนสำเร็จ,170.0,2375.0,เงินสด,2026-06-01,ชำระเงินแล้ว
STU0171,พศิน ทองสุข,ชาย,18,ม.6,โรงเรียนขอนแก่นวิทยายน,081-9323252,C006,คณิตศาสตร์ A-Level,คณิตศาสตร์,ครูพิมพ์,3500,40,40,0,171,2026-07-19,0.0,3500.0,ลงทะเบียนสำเร็จ,171.0,3500.0,เงินสด,2026-07-19,ชำระเงินแล้ว
STU0172,ธิดารัตน์ วรรณศรี,หญิง,18,ม.6,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),083-2917447,C005,ภาษาอังกฤษ ม.ปลาย,ภาษาอังกฤษ,ครูณัฐ,2500,40,35,5,172,2026-07-23,0.0,2500.0,ลงทะเบียนสำเร็จ,172.0,2500.0,บัตรเครดิต,2026-07-23,ชำระเงินแล้ว
STU0173,ธนาธิป พงษ์ไพบูลย์,ชาย,17,ม.6,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),091-8136353,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,173,2026-06-08,0.1,3060.0,ลงทะเบียนสำเร็จ,173.0,3060.0,บัตรเครดิต,2026-06-08,ชำระเงินแล้ว
STU0174,ธนาธิป เจริญทรัพย์,ชาย,18,ม.6,โรงเรียนแก่นนครวิทยาลัย,097-2484397,C010,ภาษาอังกฤษ A-Level,ภาษาอังกฤษ,ครูณัฐ,3200,40,40,0,174,2026-08-07,0.1,2880.0,ลงทะเบียนสำเร็จ,174.0,2880.0,พร้อมเพย์,2026-08-07,ชำระเงินแล้ว
STU0175,รชต วัฒนกุล,ชาย,17,ม.5,โรงเรียนขอนแก่นวิทยาลัย,096-2025793,C002,ฟิสิกส์ ม.ปลาย,ฟิสิกส์,ครูเอก,2800,40,40,0,175,2026-07-27,0.0,2800.0,ลงทะเบียนสำเร็จ,175.0,2800.0,บัตรเครดิต,2026-07-27,ชำระเงินแล้ว
STU0176,วริศรา มงคลชัย,หญิง,17,ม.5,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),085-9213087,C008,เคมี A-Level,เคมี,ครูศิริ,3400,40,40,0,176,2026-07-14,0.0,3400.0,ลงทะเบียนสำเร็จ,176.0,3400.0,เงินสด,2026-07-14,ชำระเงินแล้ว
STU0177,ปกรณ์ บุญมี,ชาย,16,ม.4,โรงเรียนสาธิตมหาวิทยาลัยขอนแก่น ฝ่ายมัธยมศึกษา (ศึกษาศาสตร์),088-7876246,C003,เคมี ม.ปลาย,เคมี,ครูศิริ,2700,40,40,0,177,2026-08-14,0.0,2700.0,ลงทะเบียนสำเร็จ,177.0,2700.0,พร้อมเพย์,2026-08-14,ชำระเงินแล้ว
STU0178,วรากร ชูศรี,ชาย,16,ม.4,โรงเรียนขอนแก่นวิทยาลัย,095-2283243,C007,ฟิสิกส์ A-Level,ฟิสิกส์,ครูเอก,3500,40,40,0,178,2026-06-16,0.05,3325.0,ลงทะเบียนสำเร็จ,178.0,3325.0,เงินสด,2026-06-16,ชำระเงินแล้ว
